Marque,Famille,Sous_famille,Parfumeur,Prix_Categorie,Fragrance,Origine,Genre,Année,Ingredients_txt,Concepts_txt
Commodity,CITRUS,FRUITÉ,Caroline Sabas,Niche,ICE(d) EXPRESSIVE,États-Unis d'Amérique,Unisexe,2025,gingembre eucalyptus menthe crépue fève tonka mangue poivre noir ambre,quotidien eté optimiste liberté jour printemps blanc gai heureux décontracté
Commodity,CITRUS,FRUITÉ,Caroline Sabas,Niche,ICE(d) + BOLD,États-Unis d'Amérique,Unisexe,2025,menthe crépue cardamome ambre eucalyptus fève tonka mangue,quotidien eté optimiste liberté jour printemps blanc gai heureux décontracté
Commodity,CITRUS,FRUITÉ,Caroline Sabas,Niche,ICE(d) – PERSONAL,États-Unis d'Amérique,Unisexe,2025,algues accord peau eucalyptus mangue bois de santal menthe crépue,quotidien eté optimiste liberté jour printemps blanc gai heureux décontracté
4711,BOISÉ,BOISÉ,Anton (Jimmy) Studer,Niche,WHITE CEDAR,Allemagne,Unisexe,2025,bois de santal iris violette cèdre ambre gris cardamome papyrus cuir,intense riche robuste puissant boisé quotidien décontracté elégant automne hiver
Dior,BOISÉ,AMBRÉ (ORIENTAL),Francis Kurkdjian,Prestige,SAUVAGE RARE BLEND 2025,France,Homme,2025,ciste labdanum oud bois dagar vanille madagascar,intense riche robuste puissant boisé hiver marron noir automne nuit
4711,BOISÉ,AMBRÉ (ORIENTAL),Marine Ipert,Niche,ROYAL OUD,Allemagne,Unisexe,2025,oud bois dagar safran cèdre ambre résine délémi vanille cuir patchouli jasmin rose amyris framboise,intense riche robuste puissant hiver nuit décontracté quotidien automne boisé
Jo Malone London,CITRUS,CITRUS,Serge Majoullier,Niche,ORANGE BITTERS 2025,Royaume-Uni,Unisexe,2025,cypriol nagarmota bois de santal aldéhyde jasmin petitgrain orange prune mandarine patchouli indonésie orange amère ambre,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
Jo Malone London,AMBRÉ (ORIENTAL),FLORAL,Anne Flipo,Niche,MIDNIGHT MUSK & AMBER 2025,Royaume-Uni,Unisexe,2025,benjoin ambre néroli mandarine musc baies de genièvre,rond riche intense robuste puissant décontracté quotidien généreux automne hiver
4711,BOISÉ,TABAC,"Coralie Spicher,",Niche,IMPERIAL TOBACCO,Allemagne,Unisexe,2025,ciste labdanum fève tonka lavande amyris bois de gaïac cardamome pamplemousse feuille de tabac thé noir,intense riche robuste puissant noir automne hiver boisé marron gris
Carner Barcelona,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Niche,BO-BO INTENSE 2025,Espagne,Unisexe,2025,bergamote fleur doranger vanille musc bois de santal mandarine muguet ambre jasmin inde poire,rond quotidien riche intense robuste puissant décontracté généreux charnel violet
Les Eaux Primordiales,BOISÉ,AMBRÉ (ORIENTAL),Julien Rasquinet,Niche,OUD SUPERMASSIVE,France,Unisexe,2025,oud bois dagar encens olibanum pêche cardamome bergamote fruit de la passion cuir osmanthus mandarine feuille de tabac,intense riche robuste puissant boisé hiver marron automne quotidien décontracté
Kayali,FLORAL,ALDÉHYDÉ,Hamid Merati-Kashani,Niche,FREEDOM MUSK SANTAL | 34,États-Unis d'Amérique,Unisexe,2025,bois de santal vétiver musc lavande lys mandarine encens olibanum vanille bergamote ambre freesia poivre rose,florissant quotidien floral propre blanc décontracté liberté jour riche robuste
Kayali,AMBRÉ (ORIENTAL),GOURMAND,Alexis Grugeon,Niche,FREEDOM MUSK MATCHA | 45,États-Unis d'Amérique,Unisexe,2025,thé matcha praline ambre bois de santal bergamote vétiver musc céréales vanille thé maté patchouli pomme verte café,intense riche puissant robuste nuit généreux chaud boisé mystique chaleur
Kayali,AMBRÉ (ORIENTAL),GOURMAND,Florian Gallo,Niche,FREEDOM MUSK LATTE | 41,États-Unis d'Amérique,Unisexe,2025,cypriol nagarmota lavande poivre rose bois de santal caffè latte rose turquie cannelle cèdre mandarine bergamote chocolat musc,intense riche puissant robuste nuit généreux chaud boisé mystique chaleur
Kayali,FLORAL,MUSQUÉ,Nathalie Lorson,Niche,FREEDOM MUSK BOUQUET | 27,États-Unis d'Amérique,Unisexe,2025,vanille rose turquie graine dambrette bois de santal jasmin praline vétiver ylangylang poivre rose,quotidien propre décontracté rond jour automne vaporeux lisse innocent pur
Calvin Klein,CITRUS,CITRUS,Alberto Morillas,Prestige,CK ONE ESSENCE VIVA LOVE 2025,États-Unis d'Amérique,Unisexe,2025,musc santal australie bergamote thé vert,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
